username,password,first_name,last_name,phone,email
kaki413,123456,¤ý,²Q­d,0921022268,kaki@cc.ncu.edu.tw
zkni515,123456,§õ,¬ü¬Â,0932678921,zkni@cc.ncu.edu.tw
yueg24,123456,³¯,°öµ^,0960073959,yueg@cc.ncu.edu.tw
wthf9121,123456,§d,ªY¨Î,0958385403,wthf@nkfust.edu.tw
mcjn914,123456,³s,¤¯»¨,0916345438,mcjn@gmail.com
vvng2125,123456,¾G,¸tªQ,0982106801,vvng@cc.ncu.edu.tw
ufjd398,123456,¼B,ºö¼ä,0956797481,ufjd@nkfust.edu.tw
kzvo643,123456,§d,©É´@,0911195896,kzvo@nkfust.edu.tw
idsd7989,123456,¤ý,´f´@,0960457434,idsd@nkfust.edu.tw
octf99,123456,½²,§»¹F,0968177197,octf@nkfust.edu.tw
otkc619,123456,±i,¹Å­§,0938231701,otkc@cc.ncu.edu.tw
piur1645,123456,ªL,§Ó®p,0910472636,piur@nkfust.edu.tw
nwpt7181,123456,³¯,¨|²±,0970104257,nwpt@cc.ncu.edu.tw
yibk585,123456,­Ù,°û¦p,0987306643,yibk@icloud.com
ivbh5472,123456,³Å,¹Å¬Â,0988561790,ivbh@cc.ncu.edu.tw
uuni8854,123456,±i,¹Å«W,0934333629,uuni@nkfust.edu.tw
glra1645,123456,·¨,³Í¤å,0986674528,glra@nkfust.edu.tw
mory1645,123456,³¯,¶®·¶,0958448948,mory@nkfust.edu.tw
pwve296,123456,ªL,¬î¨j,0922371054,pwve@gmail.com
hmdd2313,123456,°¨,«Tºû,0956968326,hmdd@cc.ncu.edu.tw
rsln180,123456,±i,­õºú,0952761855,rsln@icloud.com
zxme101,123456,³¯,²Q¤Í,0917958848,zxme@cc.ncu.edu.tw
fmwd4398,123456,¼B,¤å®p,0934178336,fmwd@cc.ncu.edu.tw
vgcw533,123456,½²,©y©M,0958876934,vgcw@cc.ncu.edu.tw
ejcv791,123456,±i,¯§²±,0954845213,ejcv@cc.ncu.edu.tw
exym99,123456,ªL,¶®¯ø,0919505003,exym@gmail.com
izci426,123456,ÁÂ,¨Î¨Ó,0971511107,izci@nkfust.edu.tw
qfek296,123456,­ð,¥ò¹Ú,0931325484,qfek@icloud.com
hekp8403,123456,ªL,¨Î¤¤,0989935297,hekp@cc.ncu.edu.tw
xmum296,123456,µ{,¹Å»¨,0926674537,xmum@nkfust.edu.tw
fxxd9561,123456,ÁÂ,®aÞ³,0953331829,fxxd@cc.ncu.edu.tw
rccs257,123456,§õ,Ãý¦p,0938215520,rccs@icloud.com
xapf7989,123456,³¯,«Ø§Ê,0939910815,xapf@cc.ncu.edu.tw
dbtl350,123456,¤ý,¬ýÁ¾,0932221920,dbtl@nkfust.edu.tw
sxob305,123456,¾G,¦t¬u,0968265437,sxob@nkfust.edu.tw
bnvt2125,123456,§õ,°û´@,0912061777,bnvt@gmail.com
skvq222,123456,¶À,»ñ­Å,0913422023,skvq@icloud.com
wkacgy193,123456,¤ý,®¶§¶,0938129468,wkacgy@gmail.com
lfurfq4143,123456,©P,¼Ö§g,0918526948,lfurfq@cc.ncu.edu.tw
uilrle643,123456,Ã¹,¥Û­^,0925859486,uilrle@gmail.com
mvpake9121,123456,¼B,¥Õ½n,0925794118,mvpake@nkfust.edu.tw
oiqbzb1560,123456,±ä,°û¥ú,0910403900,oiqbzb@cc.ncu.edu.tw
hfaqyb850,123456,¾G,©É¼ä,0933519586,hfaqyb@icloud.com
tycjzt660,123456,¨¿,©É¿²,0923757153,tycjzt@nkfust.edu.tw
xlvxqo156,123456,§õ,¨ÎÀM,0938728121,xlvxqo@nkfust.edu.tw
ywcgpr3613,123456,½²,©{³Í,0972678122,ywcgpr@nkfust.edu.tw
kwvsfb5701,123456,½²,·R¤ª,0934460712,kwvsfb@cc.ncu.edu.tw
bhopam4398,123456,³¯,«a¯\,0921063855,bhopam@cc.ncu.edu.tw
jhzfsy0,123456,·¨,¨Ì¼ä,0956314119,jhzfsy@gmail.com
ebalyc736,123456,±i,®xÀM,0955458022,ebalyc@gmail.com
pldzjo7602,123456,¿ú,©ÉÀR,0961714399,pldzjo@nkfust.edu.tw
rbayfg981,123456,·¨,¤H±l,0939636513,rbayfg@cc.ncu.edu.tw
dfobdo660,123456,©P,±Ó®f,0932345996,dfobdo@cc.ncu.edu.tw
aftgzc7356,123456,Ä¬,¥¿¨q,0924605142,aftgzc@icloud.com
vymsim5222,123456,±ä,©wª´,0923535639,vymsim@nkfust.edu.tw
gjzpfu2744,123456,´¿,³Õ¶v,0989916930,gjzpfu@icloud.com
cbyzpm948,123456,§d,«T«B,0963751340,cbyzpm@cc.ncu.edu.tw
qasfgv79,123456,ªL,«Ø§Æ,0924740915,qasfgv@nkfust.edu.tw
ioxbwr368,123456,³¯,Åt±d,0925033651,ioxbwr@gmail.com
zkwvoq743,123456,ªL,¬Fµq,0989377673,zkwvoq@gmail.com
fqzjyq743,123456,¼B,¦p§g,0926514727,fqzjyq@cc.ncu.edu.tw
swimqx914,123456,¿ú,Â@¸t,0953541801,swimqx@nkfust.edu.tw
tlq7181,123456,¶À,§ÓªN,0934729425,tlq@nkfust.edu.tw
bpn555,123456,±i,¶®¨ç,0960490010,bpn@cc.ncu.edu.tw
phe482,123456,ªL,¶§§Æ,0931576873,phe@nkfust.edu.tw
adt804,123456,ªL,ªY¿o,0930464280,adt@nkfust.edu.tw
eso914,123456,½²,©ú¾§,0921070304,eso@gmail.com
vmk4700,123456,´å,¨Ø¨¯,0936062396,vmk@nkfust.edu.tw
xmw6094,123456,Ä¬,¬Ó²±,0931422505,xmw@nkfust.edu.tw
scg6403,123456,½²,¹Å©¯,0914706234,scg@nkfust.edu.tw
lwn643,123456,¶À,¬f«Â,0956876715,lwn@nkfust.edu.tw
jzv477,123456,§õ,ÀR«T,0988973410,jzv@nkfust.edu.tw
mac1645,123456,­ð,©{µq,0939854963,mac@gmail.com
rjh2744,123456,ªL,ªkªv,0927615817,rjh@nkfust.edu.tw
qfr482,123456,±i,¤p¶Q,0972437508,qfr@cc.ncu.edu.tw
ihp771,123456,´¿,¶®¬Â,0954965784,ihp@nkfust.edu.tw
ufs660,123456,±i,¿PÂE,0956204285,ufs@nkfust.edu.tw
yyk193,123456,¶¾,¤§©ý,0986161718,yyk@gmail.com
czp24,123456,¿c,©Éã¸,0921612961,czp@nkfust.edu.tw
fhm477,123456,µ{,©s¾§,0972875212,fhm@gmail.com
onl101,123456,½²,²Q¤¤,0913828704,onl@gmail.com
gmp704,123456,®],¶®´@,0960747461,gmp@icloud.com
wtp948,123456,¼B,¬L¨Ì,0988206223,wtp@nkfust.edu.tw
zzm791,123456,¤ý,¥ì¤H,0939420524,zzm@cc.ncu.edu.tw
ddj4596,123456,¤ý,«TÀM,0930591174,ddj@cc.ncu.edu.tw
kfv680,123456,ªL,ºÑ»Ê,0913072346,kfv@cc.ncu.edu.tw
hlr743,123456,¾G,¥É±ö,0955615432,hlr@cc.ncu.edu.tw
lb1231,123456,·Å,ºû­Û,0917054801,lb@cc.ncu.edu.tw
xm5222,123456,³¯,©uÊo,0913021082,xm@cc.ncu.edu.tw
vv1231,123456,³\,©Ó§±,0952552781,vv@nkfust.edu.tw
jn914,123456,ªL,­õºa,0911284324,jn@gmail.com
bq257,123456,¶À,§Ó±©,0925379855,bq@cc.ncu.edu.tw
il585,123456,±i,§Ó»Ê,0928764148,il@cc.ncu.edu.tw
gg8403,123456,½²,¶®­Z,0923058469,gg@cc.ncu.edu.tw
ah948,123456,¿½,±d¹F,0989817571,ah@cc.ncu.edu.tw
kw743,123456,ÁÂ,§Ó¤å,0952449089,kw@cc.ncu.edu.tw
fk4700,123456,¶À,«É¤ª,0970189988,fk@gmail.com
yu680,123456,³¯,´f§»,0934840281,yu@nkfust.edu.tw
qo1560,123456,¶À,Ãý´@,0968033588,qo@nkfust.edu.tw
rh948,123456,¤ý,Âí¦t,0931384644,rh@cc.ncu.edu.tw
et736,123456,§d,¬ü´ò,0921889209,et@nkfust.edu.tw
mc305,123456,¶À,¸©¬î,0955975566,mc@nkfust.edu.tw
pb966,123456,³¯,¼äÀé,0958334088,pb@nkfust.edu.tw
oo2744,123456,¶À,±d¨Ø,0982904619,oo@cc.ncu.edu.tw
hs3188,123456,¶À,ßNªá,0913191370,hs@cc.ncu.edu.tw
dj2744,123456,¶À,»Ê¸t,0931932027,dj@icloud.com
sl4700,123456,³¯,ºÍµY,0972315857,sl@nkfust.edu.tw
wc156,123456,¥Õ,¬f§»,0961911496,wc@icloud.com
cr1645,123456,¼ï,§®­µ,0911724447,cr@nkfust.edu.tw
uc2313,123456,±ä,µµ¥ç,0960525091,uc@cc.ncu.edu.tw
zm5472,123456,ªL,¨Ø¬Â,0988671334,zm@nkfust.edu.tw
tn619,123456,½²,¤©Às,0953169228,tn@cc.ncu.edu.tw
jlckxdt533,123456,¬I,¦³Ú{,0972474434,jlckxdt@cc.ncu.edu.tw
afvvhdu926,123456,°¨,­§²[,0936344759,afvvhdu@cc.ncu.edu.tw
rqsrmcr4936,123456,³¯,²Q¬Â,0960689525,rqsrmcr@cc.ncu.edu.tw
ucwyini850,123456,©P,ÄR®S,0934403778,ucwyini@nkfust.edu.tw
corkpfj9749,123456,¸­,¨Øæ¢,0987816960,corkpfj@nkfust.edu.tw
mnhhopr736,123456,¾H,´ð´@,0989348061,mnhhopr@cc.ncu.edu.tw
wblpusm350,123456,ªL,¦õ¤ì,0952994355,wblpusm@nkfust.edu.tw
yugkaee2125,123456,¤ý,¥É¬Â,0935466760,yugkaee@cc.ncu.edu.tw
ximdecn2313,123456,³¯,¾Ëµq,0935565719,ximdecn@cc.ncu.edu.tw
kqqouxh4700,123456,·¨,®aÀM,0989188784,kqqouxh@cc.ncu.edu.tw
epbfbvg2555,123456,¼B,©{¾§,0913081611,epbfbvg@gmail.com
ujekmwu791,123456,³¯,«i§B,0958487247,ujekmwu@nkfust.edu.tw
rjegcxh99,123456,ªô,­»§g,0953282511,rjegcxh@gmail.com
gqalyet5947,123456,¤ý,ÃýµÙ,0928928513,gqalyet@cc.ncu.edu.tw
fmzwvoq6217,123456,¤è,«T½å,0935939314,fmzwvoq@cc.ncu.edu.tw
ijpaxzw99,123456,§d,¤Z¯\,0953187006,ijpaxzw@nkfust.edu.tw
ssgcbfp9561,123456,§d,¤ÍÊ¹,0987976931,ssgcbfp@gmail.com
qfvghgu401,123456,»¯,¤ì¶²,0913274493,qfvghgu@cc.ncu.edu.tw
dudettg627,123456,§õ,«Ø§Ó,0914675009,dudettg@icloud.com
bijieta804,123456,³¯,ÀR©É,0927109043,bijieta@nkfust.edu.tw
uzusfzh296,123456,¶À,¬ü­d,0916247751,uzusfzh@icloud.com
perbytw3245,123456,³¯,«ä¿«,0934528788,perbytw@cc.ncu.edu.tw
lspjgjd585,123456,¶À,°ê¥ú,0955935512,lspjgjd@cc.ncu.edu.tw
nwcuxsx5947,123456,ÃC,¸Ö´@,0960152555,nwcuxsx@cc.ncu.edu.tw
zraucap8243,123456,¦¶,©É¸©,0989000987,zraucap@icloud.com
xwcafjn272,123456,ªL,ª÷»ñ,0929752612,xwcafjn@cc.ncu.edu.tw
osqcbjk2986,123456,°ª,«Ø¤å,0913002910,osqcbjk@nkfust.edu.tw
cjhmwnb6689,123456,ÁÂ,©y§¡,0937406386,cjhmwnb@gmail.com
mriqbxk981,123456,ªL,´¸­x,0987739216,mriqbxk@gmail.com
hiowlym3613,123456,³¯,­ì¥Ý,0935206133,hiowlym@gmail.com
ivmcjvo3613,123456,³¯,·ç¥Á,0937502870,ivmcjvo@gmail.com
